,close,high,low,open,time,volumefrom,volumeto,timestamp
1506,360498,366091,354251,362324,1544832000,2208.13,796654769.76,2018-12-15 09:00:00
1507,363024,370500,360317,360498,1544918400,2104.05,769027325.37,2018-12-16 09:00:00
1508,394801,404685,362450,363024,1545004800,2795.3,1057735350.88,2018-12-17 09:00:00
1509,412497,413999,384951,394801,1545091200,2981.68,1176991255.71,2018-12-18 09:00:00
1510,413453,440752,408469,412497,1545177600,3394.98,1431373294.16,2018-12-19 09:00:00
1511,453203,465400,411299,413453,1545264000,3413.67,1504957477.23,2018-12-20 09:00:00
1512,427626,462886,419924,453203,1545350400,3329.51,1476337238.8,2018-12-21 09:00:00
1513,442978,446129,422140,427626,1545436800,1959.08,842346140.69,2018-12-22 09:00:00
1514,438751,450799,433838,442978,1545523200,2779.8,1231756667.37,2018-12-23 09:00:00
1515,445484,470000,438398,438751,1545609600,3579.69,1636528802.5,2018-12-24 09:00:00
1516,417834,446279,405625,445484,1545696000,3593.67,1498712647.96,2018-12-25 09:00:00
1517,424235,428653,408001,417834,1545782400,3013.44,1262420906.87,2018-12-26 09:00:00
1518,399666,426674,396996,424235,1545868800,2530.22,1044901351.73,2018-12-27 09:00:00
1519,430000,436749,396900,399666,1545955200,2586.7,1059525824.77,2018-12-28 09:00:00
1520,412513,434500,409592,430000,1546041600,2022.43,865557998.41,2018-12-29 09:00:00
1521,423607,426662,409216,412513,1546128000,2107.99,883039924.89,2018-12-30 09:00:00
1522,406098,424410,400500,423607,1546214400,2386.73,988449485.35,2018-12-31 09:00:00
1523,419501,420762,400178,406098,1546300800,1569.62,639504406.94,2019-01-01 09:00:00
1524,417844,425119,412277,419501,1546387200,2100.9,877675741.34,2019-01-02 09:00:00
1525,408958,419250,406100,417844,1546473600,1806.1,745170941.75,2019-01-03 09:00:00
1526,414360,418302,404777,408958,1546560000,1627.0,667283888.19,2019-01-04 09:00:00
1527,412742,419733,410500,414360,1546646400,1682.55,699966160.89,2019-01-05 09:00:00
1528,438148,442485,409705,412742,1546732800,1822.91,772408674.08,2019-01-06 09:00:00
1529,434711,440753,429143,438148,1546819200,2037.33,887771278.13,2019-01-07 09:00:00
1530,434590,446336,429178,434711,1546905600,1817.6,792470290.9,2019-01-08 09:00:00
1531,433110,440006,431749,434590,1546992000,1617.3,705132276.63,2019-01-09 09:00:00
1532,394104,435610,389152,433110,1547078400,2258.45,926048542.32,2019-01-10 09:00:00
1533,395111,401356,389003,394104,1547164800,2291.88,905724610.91,2019-01-11 09:00:00
1534,392995,397210,390002,395111,1547251200,1563.41,616195798.5,2019-01-12 09:00:00
